,,,,,,,,,,,,,,,,,,,,,,,,,
Market Snapshot,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 19-04-2025 to 19-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,,,,,,,,,,,,,,,,,,
20-04-2025,7,06:30 - 06:45,12138.40,13350.80,8212.60,8212.60,4002.37,,,,,,,,,,,,,,,,,,
20-04-2025,7,06:45 - 07:00,11185.80,14193.90,7414.80,7414.80,3768.03,,,,,,,,,,,,,,,,,,
20-04-2025,8,07:00 - 07:15,10231.10,16127.90,6778.28,6778.28,3383.52,,,,,,,,,,,,,,,,,,
20-04-2025,8,07:15 - 07:30,9433.50,17890.00,6854.00,6854.00,3070.17,,,,,,,,,,,,,,,,,,
20-04-2025,8,07:30 - 07:45,8519.70,20404.10,6899.20,6899.20,2918.72,,,,,,,,,,,,,,,,,,
20-04-2025,8,07:45 - 08:00,7915.50,22999.30,6476.50,6476.50,2405.99,,,,,,,,,,,,,,,,,,
20-04-2025,9,08:00 - 08:15,7188.10,26539.60,5891.80,5891.80,1500.54,,,,,,,,,,,,,,,,,,
20-04-2025,9,08:15 - 08:30,6820.90,28484.90,5685.70,5685.70,1439.42,,,,,,,,,,,,,,,,,,
20-04-2025,9,08:30 - 08:45,6472.60,29999.30,5814.30,5814.30,989.95,,,,,,,,,,,,,,,,,,
20-04-2025,9,08:45 - 09:00,5673.30,30932.40,5215.00,5215.00,896.07,,,,,,,,,,,,,,,,,,
20-04-2025,10,09:00 - 09:15,5167.50,33859.80,4775.34,4775.34,500.84,,,,,,,,,,,,,,,,,,
20-04-2025,10,09:15 - 09:30,4942.40,33248.70,4558.13,4558.13,500.76,,,,,,,,,,,,,,,,,,
20-04-2025,10,09:30 - 09:45,4949.50,34884.00,4543.73,4543.73,500.72,,,,,,,,,,,,,,,,,,
20-04-2025,10,09:45 - 10:00,4955.40,36073.70,4503.81,4503.81,500.68,,,,,,,,,,,,,,,,,,
20-04-2025,11,10:00 - 10:15,4686.00,37851.90,4140.67,4140.67,500.57,,,,,,,,,,,,,,,,,,
20-04-2025,11,10:15 - 10:30,4672.90,38611.10,4085.67,4085.67,500.54,,,,,,,,,,,,,,,,,,
20-04-2025,11,10:30 - 10:45,4663.90,39875.00,4024.41,4024.41,500.60,,,,,,,,,,,,,,,,,,
20-04-2025,11,10:45 - 11:00,4921.30,41105.80,4272.17,4272.17,500.69,,,,,,,,,,,,,,,,,,
20-04-2025,12,11:00 - 11:15,4909.00,42198.90,4216.43,4216.43,500.68,,,,,,,,,,,,,,,,,,
20-04-2025,12,11:15 - 11:30,4930.20,42896.70,4236.00,4236.00,500.70,,,,,,,,,,,,,,,,,,
20-04-2025,12,11:30 - 11:45,4897.70,42950.50,4204.76,4204.76,500.68,,,,,,,,,,,,,,,,,,
20-04-2025,12,11:45 - 12:00,4928.70,43226.70,4229.56,4229.56,500.69,,,,,,,,,,,,,,,,,,
20-04-2025,13,12:00 - 12:15,4871.60,43839.40,4226.31,4226.31,500.66,,,,,,,,,,,,,,,,,,
20-04-2025,13,12:15 - 12:30,4878.10,44327.20,4232.56,4232.56,500.66,,,,,,,,,,,,,,,,,,
20-04-2025,13,12:30 - 12:45,4547.80,44397.20,3912.28,3912.28,500.52,,,,,,,,,,,,,,,,,,
20-04-2025,13,12:45 - 13:00,4552.80,44145.10,3913.25,3913.25,500.52,,,,,,,,,,,,,,,,,,
20-04-2025,14,13:00 - 13:15,4569.80,44630.20,3932.51,3932.51,500.50,,,,,,,,,,,,,,,,,,
20-04-2025,14,13:15 - 13:30,4553.10,44599.30,3916.53,3916.53,500.49,,,,,,,,,,,,,,,,,,
20-04-2025,14,13:30 - 13:45,4518.00,44328.30,3929.15,3929.15,500.51,,,,,,,,,,,,,,,,,,
20-04-2025,14,13:45 - 14:00,4503.60,43784.70,3961.33,3961.33,500.54,,,,,,,,,,,,,,,,,,
20-04-2025,15,14:00 - 14:15,4581.00,42177.90,4083.89,4083.89,500.59,,,,,,,,,,,,,,,,,,
20-04-2025,15,14:15 - 14:30,4929.80,41100.80,4464.63,4464.63,500.76,,,,,,,,,,,,,,,,,,
20-04-2025,15,14:30 - 14:45,5143.70,38186.80,4701.99,4701.99,500.78,,,,,,,,,,,,,,,,,,
20-04-2025,15,14:45 - 15:00,5146.50,37363.20,4702.46,4702.46,500.80,,,,,,,,,,,,,,,,,,
20-04-2025,16,15:00 - 15:15,5915.90,33094.60,5087.20,5087.20,999.19,,,,,,,,,,,,,,,,,,
20-04-2025,16,15:15 - 15:30,6061.50,32689.40,5042.30,5042.30,1000.41,,,,,,,,,,,,,,,,,,
20-04-2025,16,15:30 - 15:45,6451.60,32075.70,5084.60,5084.60,1439.22,,,,,,,,,,,,,,,,,,
20-04-2025,16,15:45 - 16:00,6845.30,31635.70,5477.20,5477.20,1439.53,,,,,,,,,,,,,,,,,,
20-04-2025,17,16:00 - 16:15,7674.10,30485.60,6023.00,6023.00,1605.38,,,,,,,,,,,,,,,,,,
20-04-2025,17,16:15 - 16:30,8218.10,28504.90,6522.60,6522.60,1769.70,,,,,,,,,,,,,,,,,,
20-04-2025,17,16:30 - 16:45,8981.80,26337.20,7093.70,7093.70,2149.10,,,,,,,,,,,,,,,,,,
20-04-2025,17,16:45 - 17:00,9343.90,24588.90,7360.20,7360.20,2463.02,,,,,,,,,,,,,,,,,,
20-04-2025,18,17:00 - 17:15,8871.10,20784.30,6794.29,6794.29,2700.91,,,,,,,,,,,,,,,,,,
20-04-2025,18,17:15 - 17:30,8764.70,18587.90,6339.20,6339.20,2960.74,,,,,,,,,,,,,,,,,,
20-04-2025,18,17:30 - 17:45,8611.60,16573.80,5891.90,5891.90,3020.37,,,,,,,,,,,,,,,,,,
20-04-2025,18,17:45 - 18:00,9613.90,14345.90,5635.90,5635.90,3143.65,,,,,,,,,,,,,,,,,,
20-04-2025,19,18:00 - 18:15,9517.30,13858.80,5637.16,5637.16,3491.17,,,,,,,,,,,,,,,,,,
20-04-2025,19,18:15 - 18:30,9840.10,12235.00,5526.00,5526.00,3759.79,,,,,,,,,,,,,,,,,,
20-04-2025,19,18:30 - 18:45,9668.10,10590.00,5316.10,5316.10,3769.00,,,,,,,,,,,,,,,,,,
20-04-2025,19,18:45 - 19:00,9922.90,9078.10,5515.00,5515.00,3969.02,,,,,,,,,,,,,,,,,,
20-04-2025,20,19:00 - 19:15,11089.40,8021.10,5581.40,5581.40,5250.34,,,,,,,,,,,,,,,,,,
20-04-2025,20,19:15 - 19:30,11808.10,7843.20,5913.80,5913.80,5500.68,,,,,,,,,,,,,,,,,,
20-04-2025,20,19:30 - 19:45,12235.70,7887.70,6108.70,6108.70,5509.76,,,,,,,,,,,,,,,,,,
20-04-2025,20,19:45 - 20:00,12219.40,8120.70,6123.20,6123.20,5500.94,,,,,,,,,,,,,,,,,,
20-04-2025,21,20:00 - 20:15,11709.10,8205.50,5782.40,5782.40,5299.22,,,,,,,,,,,,,,,,,,
20-04-2025,21,20:15 - 20:30,11648.00,8474.80,5687.90,5687.90,5299.06,,,,,,,,,,,,,,,,,,
20-04-2025,21,20:30 - 20:45,11735.40,8175.80,5917.00,5917.00,5299.78,,,,,,,,,,,,,,,,,,
20-04-2025,21,20:45 - 21:00,11817.40,7908.20,5873.60,5873.60,5499.84,,,,,,,,,,,,,,,,,,
20-04-2025,22,21:00 - 21:15,11671.30,7792.60,5567.80,5567.80,5299.22,,,,,,,,,,,,,,,,,,
20-04-2025,22,21:15 - 21:30,11790.50,8015.70,5676.00,5676.00,5299.07,,,,,,,,,,,,,,,,,,
20-04-2025,22,21:30 - 21:45,11853.50,7974.50,5705.50,5705.50,5260.38,,,,,,,,,,,,,,,,,,
20-04-2025,22,21:45 - 22:00,11773.30,7844.70,5602.80,5602.80,5299.07,,,,,,,,,,,,,,,,,,
20-04-2025,23,22:00 - 22:15,12121.10,7431.90,5302.50,5302.50,5051.91,,,,,,,,,,,,,,,,,,
20-04-2025,23,22:15 - 22:30,12821.00,7416.40,5697.50,5697.50,5449.98,,,,,,,,,,,,,,,,,,
20-04-2025,23,22:30 - 22:45,13556.30,7303.70,6099.90,6099.90,6000.91,,,,,,,,,,,,,,,,,,
20-04-2025,23,22:45 - 23:00,14049.80,7166.90,6146.09,6146.09,7149.95,,,,,,,,,,,,,,,,,,
